Precinct,Reporting Status,Nate Baker,%Nate Baker,Javiera Caballero1,%Javiera Caballero1,Carl Rist,%Carl Rist,Khalilah Karim,%Khalilah Karim,Monique Holsey-Hyman,%Monique Holsey-Hyman,Shelia Ann Huggins,%Shelia Ann Huggins,Write-In (Miscellaneous),Sherri Zann Rosenthal,Bonita Green,Shanetta Burris,J.J. Campbell,SUM
1,Final Canvass Results (official),164,22.9%,176,24.6%,175,24.4%,108,15.1%,46,6.4%,47,6.6%,0,0,0,0,0,716
2,Final Canvass Results (official),283,22.4%,336,26.6%,327,25.9%,196,15.5%,72,5.7%,46,3.6%,2,0,0,0,0,1262
3,Final Canvass Results (official),266,20.7%,357,27.8%,325,25.3%,248,19.3%,47,3.7%,38,3.0%,3,0,1,0,0,1285
4,Final Canvass Results (official),412,24.7%,424,25.4%,433,26.0%,265,15.9%,66,4.0%,61,3.7%,3,1,0,0,2,1667
5,Final Canvass Results (official),113,20.5%,132,24.0%,100,18.2%,112,20.4%,53,9.6%,38,6.9%,2,0,0,0,0,550
6,Final Canvass Results (official),293,23.9%,328,26.7%,334,27.2%,160,13.0%,49,4.0%,56,4.6%,6,0,1,0,0,1227
7,Final Canvass Results (official),255,22.5%,274,24.2%,298,26.3%,201,17.8%,54,4.8%,47,4.2%,2,0,0,0,0,1131
8,Final Canvass Results (official),255,18.9%,349,25.9%,346,25.6%,250,18.5%,84,6.2%,57,4.2%,9,0,0,0,0,1350
9,Final Canvass Results (official),401,21.0%,496,26.0%,509,26.7%,270,14.2%,103,5.4%,118,6.2%,8,1,0,0,0,1906
10,Final Canvass Results (official),124,22.8%,113,20.8%,114,21.0%,82,15.1%,65,11.9%,42,7.7%,3,0,1,0,0,544
12,Final Canvass Results (official),34,16.4%,38,18.4%,25,12.1%,40,19.3%,41,19.8%,25,12.1%,4,0,0,0,0,207
13,Final Canvass Results (official),39,23.5%,22,13.3%,15,9.0%,30,18.1%,37,22.3%,23,13.9%,0,0,0,0,0,166
14,Final Canvass Results (official),116,22.4%,82,15.9%,70,13.5%,96,18.6%,84,16.2%,60,11.6%,5,1,1,2,0,517
15,Final Canvass Results (official),112,22.9%,120,24.5%,81,16.6%,83,17.0%,54,11.0%,37,7.6%,2,0,0,0,0,489
16,Final Canvass Results (official),226,22.5%,250,24.9%,242,24.1%,119,11.8%,81,8.1%,85,8.5%,2,0,0,0,0,1005
17,Final Canvass Results (official),286,24.1%,284,23.9%,268,22.6%,186,15.7%,91,7.7%,65,5.5%,8,0,0,0,0,1188
18,Final Canvass Results (official),103,22.2%,85,18.3%,66,14.2%,65,14.0%,75,16.2%,66,14.2%,4,0,0,0,0,464
19,Final Canvass Results (official),254,21.6%,243,20.7%,228,19.4%,197,16.8%,138,11.7%,109,9.3%,2,1,1,2,0,1175
20,Final Canvass Results (official),327,24.4%,353,26.4%,318,23.7%,218,16.3%,69,5.2%,54,4.0%,0,0,0,0,0,1339
21,Final Canvass Results (official),296,23.4%,342,27.0%,288,22.7%,245,19.3%,50,3.9%,39,3.1%,7,0,0,0,0,1267
22,Final Canvass Results (official),227,21.9%,196,18.9%,158,15.2%,204,19.7%,138,13.3%,110,10.6%,2,0,2,0,0,1037
23,Final Canvass Results (official),345,20.8%,310,18.7%,265,16.0%,370,22.3%,228,13.7%,141,8.5%,1,0,1,0,0,1661
24,Final Canvass Results (official),310,20.4%,352,23.1%,390,25.6%,215,14.1%,117,7.7%,125,8.2%,13,0,0,0,0,1522
25,Final Canvass Results (official),33,20.9%,23,14.6%,27,17.1%,26,16.5%,26,16.5%,23,14.6%,0,0,0,0,0,158
27,Final Canvass Results (official),118,21.1%,143,25.6%,134,24.0%,82,14.7%,36,6.4%,44,7.9%,2,0,0,0,0,559
