Precinct,Reporting Status,Jillian Johnson,%Jillian Johnson,Charlie Reece,%Charlie Reece,Javiera Caballero,%Javiera Caballero,Joshua Gunn,%Joshua Gunn,Daniel Meier,%Daniel Meier,Jacqueline Wagstaff,%Jacqueline Wagstaff,Write-In (Miscellaneous),John Tarantino,Mark Anthony Middleton,Victoria Peterson,Ricardo Correa,SUM
1,Final Canvass Results (official),166,21.5%,158,20.5%,171,22.2%,129,16.7%,82,10.6%,57,7.4%,9,0,0,0,0,772
2,Final Canvass Results (official),349,26.3%,310,23.4%,367,27.7%,148,11.2%,68,5.1%,84,6.3%,1,0,0,0,0,1327
3,Final Canvass Results (official),388,27.1%,372,26.0%,407,28.4%,143,10.0%,62,4.3%,54,3.8%,5,0,0,0,1,1432
4,Final Canvass Results (official),415,24.9%,407,24.4%,454,27.2%,213,12.8%,110,6.6%,61,3.7%,6,1,0,0,0,1667
5,Final Canvass Results (official),159,26.1%,117,19.2%,151,24.8%,81,13.3%,30,4.9%,71,11.7%,0,0,0,0,0,609
6,Final Canvass Results (official),346,25.4%,346,25.4%,360,26.4%,165,12.1%,88,6.5%,54,4.0%,5,0,0,0,0,1364
7,Final Canvass Results (official),322,25.6%,291,23.1%,341,27.1%,148,11.8%,87,6.9%,64,5.1%,5,0,0,0,0,1258
8,Final Canvass Results (official),287,22.6%,270,21.3%,280,22.0%,204,16.1%,120,9.4%,108,8.5%,1,0,0,0,0,1270
9,Final Canvass Results (official),410,21.2%,422,21.8%,413,21.4%,365,18.9%,186,9.6%,132,6.8%,3,0,2,0,0,1933
10,Final Canvass Results (official),139,21.8%,96,15.0%,110,17.2%,146,22.9%,55,8.6%,92,14.4%,0,0,0,0,0,638
12,Final Canvass Results (official),45,18.1%,46,18.5%,36,14.5%,56,22.6%,19,7.7%,45,18.1%,0,0,0,1,0,248
13,Final Canvass Results (official),47,23.6%,31,15.6%,19,9.5%,38,19.1%,14,7.0%,50,25.1%,0,0,0,0,0,199
14,Final Canvass Results (official),94,20.2%,85,18.2%,68,14.6%,91,19.5%,32,6.9%,93,20.0%,3,0,0,0,0,466
15,Final Canvass Results (official),103,21.4%,79,16.4%,78,16.2%,102,21.2%,39,8.1%,80,16.6%,0,1,0,0,0,482
16,Final Canvass Results (official),203,22.2%,200,21.9%,197,21.5%,152,16.6%,89,9.7%,71,7.8%,3,0,0,0,0,915
17,Final Canvass Results (official),270,21.2%,243,19.1%,273,21.5%,247,19.4%,93,7.3%,144,11.3%,2,0,0,0,0,1272
18,Final Canvass Results (official),101,20.6%,75,15.3%,73,14.9%,108,22.0%,29,5.9%,97,19.8%,7,0,0,0,0,490
