precinct_id,18 to 24-White,18 to 24-Black,18 to 24-Latino,18 to 24-Native American,18 to 24-Other,18 to 24-Unknown,18 to 24-Total,25 to 35-White,25 to 35-Black,25 to 35-Latino,25 to 35-Native American,25 to 35-Other,25 to 35-Unknown,25 to 35-Total,36 to 45-White,36 to 45-Black,36 to 45-Latino,36 to 45-Native American,36 to 45-Other,36 to 45-Unknown,36 to 45-Total,46 to 55-White,46 to 55-Black,46 to 55-Latino,46 to 55-Native American,46 to 55-Other,46 to 55-Unknown,46 to 55-Total,56 to 64-White,56 to 64-Black,56 to 64-Latino,56 to 64-Native American,56 to 64-Other,56 to 64-Unknown,56 to 64-Total,65+-White,65+-Black,65+-Latino,65+-Native American,65+-Other,65+-Unknown,65+-Total,Total
1,11,2,0,0,0,0,13,52,6,2,0,4,5,69,92,9,2,0,6,5,114,71,11,3,0,4,4,93,44,25,2,0,1,4,76,99,27,1,1,0,4,132,497
2,15,7,3,0,8,5,38,154,14,8,0,14,28,218,146,19,5,0,12,12,194,89,14,2,0,7,4,116,69,31,5,0,3,7,115,76,42,2,0,5,8,133,814
3,23,1,4,0,6,5,39,161,6,5,0,13,19,204,123,6,6,0,6,18,159,108,3,2,0,4,3,120,87,7,5,0,4,7,110,182,10,2,0,4,13,211,843
4,14,0,1,0,2,2,19,75,1,4,0,6,8,94,202,1,7,0,14,16,240,146,7,9,0,6,10,178,114,6,3,0,3,8,134,264,11,0,0,2,5,282,947
5,29,4,1,0,9,13,56,88,30,4,0,20,26,168,27,19,0,0,1,2,49,4,11,0,0,3,2,20,7,25,0,0,2,1,35,15,71,2,0,1,4,93,421
6,9,2,2,0,1,2,16,111,13,6,0,5,14,149,94,7,4,1,8,9,123,92,10,2,0,7,1,112,102,12,3,0,2,7,126,222,46,0,0,4,8,280,806
7,22,1,2,0,3,5,33,155,11,9,0,15,21,211,119,13,6,0,7,14,159,101,14,2,1,7,8,133,84,18,4,1,2,6,115,151,14,0,0,3,10,178,829
8,10,5,1,0,3,2,21,144,16,15,0,15,22,212,152,32,5,0,7,12,208,93,32,1,0,6,7,139,47,48,3,0,1,6,105,99,115,3,0,5,5,227,912
9,27,8,0,1,2,0,38,83,15,2,0,10,13,123,182,26,4,2,18,15,247,176,36,1,4,11,7,235,129,35,1,0,8,6,179,296,138,1,2,4,14,455,"1,277"
10,1,0,1,0,1,0,3,106,22,6,1,10,19,164,79,25,3,0,11,3,121,14,22,3,0,6,3,48,7,48,0,0,1,4,60,17,107,0,0,3,4,131,527
14,0,2,0,0,0,0,2,22,21,2,1,2,9,57,31,27,2,0,5,6,71,7,40,2,0,1,2,52,6,55,0,1,0,2,64,20,118,3,0,0,0,141,387
15,0,4,0,0,0,2,6,62,16,3,1,7,6,95,55,18,2,0,6,11,92,14,22,1,1,1,2,41,6,32,0,0,0,0,38,9,84,1,0,0,4,98,370
17,8,6,1,0,0,4,19,192,28,8,0,18,28,274,162,38,4,0,11,20,235,70,50,4,0,6,12,142,52,45,1,0,7,11,116,112,119,1,0,4,16,252,"1,038"
18,0,4,3,0,0,1,8,53,20,5,0,5,13,96,27,27,1,1,2,4,62,6,44,0,0,2,3,55,12,59,0,0,0,2,73,7,164,2,0,3,4,180,474
19,1,12,2,0,3,5,23,87,47,9,0,4,16,163,132,64,4,0,5,9,214,71,98,3,0,3,8,183,41,139,2,0,1,11,194,80,159,3,0,3,4,249,"1,026"
20,21,2,0,0,0,1,24,200,8,7,0,12,26,253,208,11,3,0,14,19,255,136,16,7,0,6,10,175,99,14,4,0,3,6,126,161,26,3,1,5,7,203,"1,036"
21,4,1,4,0,1,2,12,134,5,7,0,13,24,183,224,11,6,0,11,17,269,122,18,2,0,3,8,153,57,20,1,0,2,8,88,116,51,3,0,1,8,179,884
22,1,7,1,0,1,2,12,87,56,8,0,10,22,183,105,63,6,1,11,18,204,41,76,5,0,1,10,133,29,169,4,0,2,5,209,54,339,2,0,4,9,408,"1,149"
