"","Indy","PA","Committee"
"1",0.794,0.306,0.282
"10",0.429,0.535,0.653
"14",0,0.817,0.899
"15",0.164,0.606,0.927
"17",0.502,0.365,0.524
"18",0.089,0.864,0.946
"19",0.381,0.431,0.606
"2",0.785,0.125,0.23
"20",0.714,0.063,0.239
"21",0.675,0.036,0.331
"22",0.331,0.645,0.749
"23",0.368,0.788,0.724
"24",0.904,0.428,0.216
"25",0.682,0.673,0.364
"26",0.804,0.731,0.414
"28",0.808,0.605,0.41
"29",0.305,1,0.835
"3",0.785,0,0.192
"30-2",0.311,0.955,0.896
"30-3",0.427,0.72,0.622
"32",0.596,0.779,0
"36",0.76,0.323,0.286
"37",0.921,0.349,0.146
"4",0.814,0.032,0.15
"40",0.806,0.136,0.263
"43",1,0.255,0.099
"44",0.621,0.82,0.559
"45",0.887,0.513,0.232
"46",0.429,0.462,0.55
"5",0.431,0.272,0.57
"50",0.834,0.286,0.221
"52",0.001,0.744,1
"6",0.918,0.103,0.119
"7",0.916,0.082,0.104
"8",0.59,0.21,0.442
"9",0.777,0.286,0.372
