"","Indy","PA","Committee"
"1",0.014,-0.075,-0.027
"10",-0.076,-0.017,0
"14",-0.182,0.054,0.018
"15",-0.142,0.001,0.02
"17",-0.058,-0.06,-0.009
"18",-0.16,0.066,0.021
"19",-0.088,-0.043,-0.003
"2",0.012,-0.121,-0.03
"20",-0.006,-0.136,-0.03
"21",-0.016,-0.143,-0.023
"22",-0.1,0.01,0.007
"23",-0.091,0.047,0.005
"24",0.041,-0.044,-0.031
"25",-0.014,0.018,-0.021
"26",0.016,0.032,-0.017
"28",0.017,0.001,-0.017
"29",-0.107,0.1,0.013
"3",0.012,-0.152,-0.033
"30-2",-0.105,0.089,0.018
"30-3",-0.077,0.029,-0.002
"32",-0.035,0.044,-0.047
"36",0.005,-0.071,-0.026
"37",0.045,-0.064,-0.036
"4",0.019,-0.144,-0.036
"40",0.017,-0.118,-0.028
"43",0.065,-0.088,-0.04
"44",-0.029,0.055,-0.007
"45",0.037,-0.023,-0.03
"46",-0.076,-0.036,-0.007
"5",-0.076,-0.084,-0.006
"50",0.024,-0.08,-0.031
"52",-0.182,0.035,0.025
"6",0.044,-0.126,-0.038
"7",0.044,-0.131,-0.039
"8",-0.037,-0.099,-0.015
"9",0.01,-0.08,-0.02
