"","Precinct","c1_name","c2_name","result","c1_pct","c2_pct","year.c1","PA.c1","Indy.c1","Committee.c1","age.c1","race.c1","sex.c1","win.c1","incubent.c1","year.c2","PA.c2","Indy.c2","Committee.c2","age.c2","race.c2","sex.c2","win.c2","incubent.c2","X18.to.24.White","X18.to.24.Black","X18.to.24.Latino","X18.to.24.Native.American","X18.to.24.Other","X18.to.24.Unknown","X18.to.24.Total","X25.to.35.White","X25.to.35.Black","X25.to.35.Latino","X25.to.35.Native.American","X25.to.35.Other","X25.to.35.Unknown","X25.to.35.Total","X36.to.45.White","X36.to.45.Black","X36.to.45.Latino","X36.to.45.Native.American","X36.to.45.Other","X36.to.45.Unknown","X36.to.45.Total","X46.to.55.White","X46.to.55.Black","X46.to.55.Latino","X46.to.55.Native.American","X46.to.55.Other","X46.to.55.Unknown","X46.to.55.Total","X56.to.64.White","X56.to.64.Black","X56.to.64.Latino","X56.to.64.Native.American","X56.to.64.Other","X56.to.64.Unknown","X56.to.64.Total","X65..White","X65..Black","X65..Latino","X65..Native.American","X65..Other","X65..Unknown","X65..Total","White","Black","Latino","Native.American","Other","Unknown"
"1","1","AJ Williams","Leonardo Williams",0.088,0.544,0.456,2021,1,0,0,"young","black","male",0,0,2021,0,0,1,"young","black","male",1,0,0.0221327967806841,0.00402414486921529,0,0,0,0,0.0261569416498994,0.104627766599598,0.0120724346076459,0.00402414486921529,0,0.00804828973843058,0.0100603621730382,0.138832997987928,0.185110663983903,0.0181086519114688,0.00402414486921529,0,0.0120724346076459,0.0100603621730382,0.229376257545272,0.142857142857143,0.0221327967806841,0.00603621730382294,0,0.00804828973843058,0.00804828973843058,0.187122736418511,0.0885311871227364,0.0503018108651912,0.00402414486921529,0,0.00201207243460765,0.00804828973843058,0.152917505030181,0.199195171026157,0.0543259557344064,0.00201207243460765,0.00201207243460765,0,0.00804828973843058,0.265593561368209,0.742454728370221,0.160965794768612,0.0201207243460765,0.00201207243460765,0.0301810865191147,0.0442655935613682
"2","2","AJ Williams","Leonardo Williams",0.249,0.621,0.372,2021,1,0,0,"young","black","male",0,0,2021,0,0,1,"young","black","male",1,0,0.0184275184275184,0.0085995085995086,0.00368550368550369,0,0.00982800982800983,0.00614250614250614,0.0466830466830467,0.189189189189189,0.0171990171990172,0.00982800982800983,0,0.0171990171990172,0.0343980343980344,0.267813267813268,0.179361179361179,0.0233415233415233,0.00614250614250614,0,0.0147420147420147,0.0147420147420147,0.238329238329238,0.109336609336609,0.0171990171990172,0.00245700245700246,0,0.0085995085995086,0.00491400491400491,0.142506142506143,0.0847665847665848,0.0380835380835381,0.00614250614250614,0,0.00368550368550369,0.0085995085995086,0.141277641277641,0.0933660933660934,0.0515970515970516,0.00245700245700246,0,0.00614250614250614,0.00982800982800983,0.163390663390663,0,0,0,0,0,0
"3","3","AJ Williams","Leonardo Williams",0.33,0.661,0.331,2021,1,0,0,"young","black","male",0,0,2021,0,0,1,"young","black","male",1,0,0.0272835112692764,0.00118623962040332,0.00474495848161329,0,0.00711743772241993,0.00593119810201661,0.0462633451957295,0.190984578884935,0.00711743772241993,0.00593119810201661,0,0.0154211150652432,0.0225385527876631,0.241992882562278,0.145907473309609,0.00711743772241993,0.00711743772241993,0,0.00711743772241993,0.0213523131672598,0.188612099644128,0.128113879003559,0.00355871886120996,0.00237247924080664,0,0.00474495848161329,0.00355871886120996,0.142348754448399,0.103202846975089,0.00830367734282325,0.00593119810201661,0,0.00474495848161329,0.00830367734282325,0.130486358244365,0.215895610913405,0.0118623962040332,0.00237247924080664,0,0.00474495848161329,0.0154211150652432,0.250296559905101,0.0225385527876631,0.0225385527876631,0.0225385527876631,0.0225385527876631,0.0225385527876631,0.0225385527876631
"4","4","AJ Williams","Leonardo Williams",0.37,0.682,0.312,2021,1,0,0,"young","black","male",0,0,2021,0,0,1,"young","black","male",1,0,0.0147835269271383,0,0.00105596620908131,0,0.00211193241816262,0.00211193241816262,0.0200633579725449,0.0791974656810982,0.00105596620908131,0.00422386483632524,0,0.00633579725448786,0.00844772967265047,0.0992608236536431,0.213305174234424,0.00105596620908131,0.00739176346356917,0,0.0147835269271383,0.0168954593453009,0.253431890179514,0.154171066525871,0.00739176346356917,0.00950369588173178,0,0.00633579725448786,0.0105596620908131,0.187961985216473,0.120380147835269,0.00633579725448786,0.00316789862724393,0,0.00316789862724393,0.00844772967265047,0.141499472016895,0.278775079197466,0.0116156282998944,0,0,0.00211193241816262,0.00527983104540655,0.297782470960929,0.00105596620908131,0.00105596620908131,0.00105596620908131,0.00105596620908131,0.00105596620908131,0.00105596620908131
"5","5","AJ Williams","Leonardo Williams",0.312,0.656,0.344,2021,1,0,0,"young","black","male",0,0,2021,0,0,1,"young","black","male",1,0,0.0688836104513064,0.00950118764845606,0.00237529691211401,0,0.0213776722090261,0.0308788598574822,0.133016627078385,0.209026128266033,0.0712589073634204,0.00950118764845606,0,0.0475059382422803,0.0617577197149644,0.399049881235154,0.0641330166270784,0.0451306413301663,0,0,0.00237529691211401,0.00475059382422803,0.116389548693587,0.00950118764845606,0.0261282660332542,0,0,0.00712589073634204,0.00475059382422803,0.0475059382422803,0.0166270783847981,0.0593824228028504,0,0,0.00475059382422803,0.00237529691211401,0.0831353919239905,0.0356294536817102,0.168646080760095,0.00475059382422803,0,0.00237529691211401,0.00950118764845606,0.220902612826603,0.00950118764845606,0.00950118764845606,0.00950118764845606,0.00950118764845606,0.00950118764845606,0.00950118764845606
"6","6","AJ Williams","Leonardo Williams",0.128,0.563,0.435,2021,1,0,0,"young","black","male",0,0,2021,0,0,1,"young","black","male",1,0,0.011166253101737,0.00248138957816377,0.00248138957816377,0,0.00124069478908189,0.00248138957816377,0.0198511166253102,0.137717121588089,0.0161290322580645,0.00744416873449132,0,0.00620347394540943,0.0173697270471464,0.184863523573201,0.116625310173697,0.0086848635235732,0.00496277915632754,0.00124069478908189,0.00992555831265509,0.011166253101737,0.152605459057072,0.114143920595533,0.0124069478908189,0.00248138957816377,0,0.0086848635235732,0.00124069478908189,0.138957816377171,0.126550868486352,0.0148883374689826,0.00372208436724566,0,0.00248138957816377,0.0086848635235732,0.156327543424318,0.275434243176179,0.0570719602977667,0,0,0.00496277915632754,0.00992555831265509,0.347394540942928,0.00744416873449132,0.00744416873449132,0.00744416873449132,0.00744416873449132,0.00744416873449132,0.00744416873449132
"7","7","AJ Williams","Leonardo Williams",0.166,0.583,0.417,2021,1,0,0,"young","black","male",0,0,2021,0,0,1,"young","black","male",1,0,0.0265379975874548,0.00120627261761158,0.00241254523522316,0,0.00361881785283474,0.0060313630880579,0.0398069963811821,0.186972255729795,0.0132689987937274,0.0108564535585042,0,0.0180940892641737,0.0253317249698432,0.254523522316043,0.143546441495778,0.0156815440289505,0.00723763570566948,0,0.00844390832328106,0.0168878166465621,0.191797346200241,0.12183353437877,0.0168878166465621,0.00241254523522316,0.00120627261761158,0.00844390832328106,0.00965018094089264,0.16043425814234,0.101326899879373,0.0217129071170084,0.00482509047044632,0.00120627261761158,0.00241254523522316,0.00723763570566948,0.138721351025332,0.182147165259349,0.0168878166465621,0,0,0.00361881785283474,0.0120627261761158,0.214716525934861,0,0,0,0,0,0
"8","8","AJ Williams","Leonardo Williams",0.259,0.628,0.369,2021,1,0,0,"young","black","male",0,0,2021,0,0,1,"young","black","male",1,0,0.0109649122807018,0.00548245614035088,0.00109649122807018,0,0.00328947368421053,0.00219298245614035,0.0230263157894737,0.157894736842105,0.0175438596491228,0.0164473684210526,0,0.0164473684210526,0.0241228070175439,0.232456140350877,0.166666666666667,0.0350877192982456,0.00548245614035088,0,0.00767543859649123,0.0131578947368421,0.228070175438596,0.101973684210526,0.0350877192982456,0.00109649122807018,0,0.00657894736842105,0.00767543859649123,0.152412280701754,0.0515350877192982,0.0526315789473684,0.00328947368421053,0,0.00109649122807018,0.00657894736842105,0.115131578947368,0.108552631578947,0.12609649122807,0.00328947368421053,0,0.00548245614035088,0.00548245614035088,0.24890350877193,0.00328947368421053,0.00328947368421053,0.00328947368421053,0.00328947368421053,0.00328947368421053,0.00328947368421053
"9","9","AJ Williams","Leonardo Williams",0.221,0.61,0.389,2021,1,0,0,"young","black","male",0,0,2021,0,0,1,"young","black","male",1,0,0.0211433046202036,0.0062646828504307,0,0.000783085356303837,0.00156617071260767,0,0.0297572435395458,0.0649960845732185,0.0117462803445576,0.00156617071260767,0,0.00783085356303837,0.0101801096319499,0.096319498825372,0.142521534847298,0.0203602192638998,0.00313234142521535,0.00156617071260767,0.0140955364134691,0.0117462803445576,0.193422083007048,0.137823022709475,0.0281910728269381,0.000783085356303837,0.00313234142521535,0.00861393891934221,0.00548159749412686,0.184025058731402,0.101018010963195,0.0274079874706343,0.000783085356303837,0,0.0062646828504307,0.00469851213782302,0.140172278778387,0.231793265465936,0.10806577916993,0.000783085356303837,0.00156617071260767,0.00313234142521535,0.0109631949882537,0.356303837118246,0.00469851213782302,0.00469851213782302,0.00469851213782302,0.00469851213782302,0.00469851213782302,0.00469851213782302
"10","10","AJ Williams","Leonardo Williams",0.237,0.612,0.375,2021,1,0,0,"young","black","male",0,0,2021,0,0,1,"young","black","male",1,0,0.00189753320683112,0,0.00189753320683112,0,0.00189753320683112,0,0.00569259962049336,0.201138519924099,0.0417457305502846,0.0113851992409867,0.00189753320683112,0.0189753320683112,0.0360531309297913,0.311195445920304,0.149905123339658,0.047438330170778,0.00569259962049336,0,0.0208728652751423,0.00569259962049336,0.229601518026565,0.0265654648956357,0.0417457305502846,0.00569259962049336,0,0.0113851992409867,0.00569259962049336,0.0910815939278937,0.0132827324478178,0.0910815939278937,0,0,0.00189753320683112,0.00759013282732448,0.113851992409867,0.032258064516129,0.20303605313093,0,0,0.00569259962049336,0.00759013282732448,0.248576850094877,0.0189753320683112,0.0189753320683112,0.0189753320683112,0.0189753320683112,0.0189753320683112,0.0189753320683112
